,DealNumber,AcquirorCUSIP,TargetCUSIP,TargetPublicStatus,ofSharesAcq,seekingtoownaftertrans,PercentofSharesHeldatAnnoun,OwnedAfterTransaction,edate,AcquirorFullName,TargetName,AcquirorPrimarySICCode,TargetPrimarySICCode,ValueofTransactionmil,Form,ConsiderationStructure,ConsidStructureDescription,NumberofBidders,Attitude,SharePricePaidbyAcquirorfort,OfferPricetoTargetStockPricet,Z,dealno,carwindow1_acq,carwindow2_acq,carwindow3_acq,carwindow4_acq,carwindow5_acq,carwindow6_acq,carwindow5_tar,carwindow4_tar,carwindow3_tar,carwindow2_tar,carwindow1_tar,acqprem1,acqprem2,gvkey_a,cusip8_comp_a,datadate_compu_a,cusip_compu_a,conm_compu_a,at_a,intan_a,re_a,sale_a,xad_a,xrd_a,costat_compu_a,sic_compu_a,ipodate_compu_a,ebit_ta_a,mktcap_a,dep_ta_a,rd_ta_a,mdr_a,fa_ta_a,mb_a,bdr_a,abs_a,unabs_a,pot_a,gvkey_t,cusip8_comp_t,datadate_compu_t,cusip_compu_t,conm_compu_t,at_t,re_t,sale_t,xad_t,xrd_t,costat_compu_t,ebit_ta_t,mktcap_t,dep_ta_t,rd_ta_t,mdr_t,fa_ta_t,mb_t,bdr_t,abs_t,unabs_t,pot_t,R,Acq Density,Target Density,TNIC 3 years avg,TNIC > 3 years avg
10,13898020,919156,879922,Public,100,100,,100,02-05-1987,Valid Logic Systems Inc,Telesis Systems Corp,7373,3674,19,Merger,SHARES,Stock Only,1,Friendly,4.4,17.33,-2.22,13898020,0.096117407,0.273114651,0.272753924,0.290236771,0.255752742,0.245052442,-0.024903608,0.069275633,0.006792574,-0.053697269,0.031867754,1.173333287,1.173333287,11083,91915610,9496,919156109,VALID LOGIC SYSTEMS INC,67.436,0,8.088,56.057,1.298,8.572,I,7373,,0.03423987,124.5512466,0.046458866,0.127113104,0.035101652,0.211000055,1.914144516,0.067189634,0.658758044,1.212090492,0.035101652,12162,87992210,9586,879922102,TELESIS SYSTEMS CORP,13.049,-18.54,13.29,,2.518,I,-0.511916637,,0.107594453,0.192964971,1,0.331059843,0.119319491,0.110353284,0.837321281,0.145146728,1,,,,,
11,13907020,163798,882315,Public,100,100,,100,12/15/1986,Chemical New York Corp,"Texas Commerce Bancshares, Houston,Texas",6021,6021,1190,Merger,HYBRID,Cash and Stock Combination,1,Friendly,36,30.91,50,13907020,-0.019073714,-0.008417768,0.004189869,-0.013204891,-0.006868354,-0.006446191,0.111597426,0.102181464,0.114351667,0.100572109,0.113700941,1.309090853,1.309090853,2968,46625H10,9496,46625H100,JPMORGAN CHASE & CO,56990.215,276,1574.251,5650.558,,,A,6020,,0.009229725,2219.881104,,0,0.871904254,0.008665505,0.309636623,0.265132844,0.19212456,,0.871904254,10488,88231510,9496,882315104,TEXAS COMMERCE BANCSHARES,20076.004,841,1935,,,I,-0.0000996,917.3079834,,0,0.801590562,0.026001191,0.230290249,0.184598491,0.159173131,,0.801590562,,,,,
12,13970020,693718,896097,Public,66.15,100,33.8,100,11/17/1986,PACCAR Inc,Trico Industries Inc,3711,3533,64,Merger,CASHO,Cash Only,1,Friendly,8,60,42.22,13970020,0.009123579,0.013698504,-0.029473042,-0.029317448,-0.036576774,-0.036377706,0.298885047,0.230144188,0.266338259,0.250614941,0.225704715,1.600000024,1.600000024,8253,69371810,9496,693718108,PACCAR INC,1057.45,0,496.877,1893.184,,14,A,3711,,0.114516996,843.5097656,0.019938532,0.013239397,0.018184617,0.192659706,0.812457085,0.014774221,0.076482795,0.064775191,0.018184617,10731,89609710,9496,896097102,TRICO INDUSTRIES,122.556,41.534,114.037,,,I,0.096870005,56.11275101,0.052074153,0,0.409008205,0.346339643,0.774721324,0.316867381,0.290151447,0.025255596,0.409008205,,,,,
13,14042020,748356,913802,Public,100,100,,100,12/17/1986,Questar Corp,Universal Resources Corp,1311,1311,30.4,Merger,CASHO,Cash Only,1,Friendly,3,-17.24,33.33,14042020,0.029342918,0.036867116,0.025203709,0.024057291,0.032220613,0.026049042,0.260804266,0.257223755,0.249309227,0.24322024,0.115602873,0.827586234,0.827586234,8873,74835610,9496,748356102,QUESTAR CORP,1005.258,0,233.763,643.535,,,A,4923,,0.131110623,566.6740112,0.056277096,0,0.339124084,0.81171,0.852974057,0.289264053,,0.190349251,0.339124084,11024,91380210,9435,913802104,UNIVERSAL RESOURCES,210.038,35.429,43.537,0,,I,0.072620191,69.71937561,0.089883737,0,0.477606356,0.918243349,0.635415375,0.30347842,0.048395619,0.374931455,0.477606356,,,,,
14,14057020,266849,920363,Public,100,100,,100,12/30/1986,Duriron Co Inc,Valtek Inc,3561,3494,25.2,Merger,CASHO,Cash Only,1,Friendly,11.75,32.39,36.23,14057020,0.073666237,0.087501608,0.106090143,0.131313875,0.137850791,0.176261291,0.291378468,0.294968009,0.291467071,0.305482835,0.31478563,1.323943615,1.323943615,4108,34354P10,9496,34354P105,FLOWSERVE CORP,101.468,0,53.438,145.959,,2.863,A,3561,,0.11633224,90.42798615,0.058195688,0.028215792,0.137499541,0.335889161,1.033271432,0.142074347,0.253715098,0.262603343,0.137499541,11098,92036310,9616,920363108,VALTEK INC,24.343,9.708,28.789,,1.122,I,0.105820976,15.35437489,0.055293102,0.046091277,0.236874312,0.388530582,0.826536357,0.195785239,0.331550241,0.043248177,0.236874312,,,,,
15,14304020,59438,26168,Public,100,100,,100,05-07-1986,"BANC ONE Corp,Columbus,Ohio","American Fletcher Corp, Indianapolis,Indiana",6021,6021,597.3,Merger,SHARES,Stock Only,1,Friendly,60,62.71,54.34,14304020,0.013023807,-0.010224684,-0.03227232,-0.058933627,-0.084024765,-0.06683097,0.390691161,0.39177987,0.402536154,0.406666279,0.429936171,1.627118587,1.627118587,1998,06423A10,9131,06423A103,BANK ONE CORP,9106.09,125.07,145.123,1049.457,,,I,6020,4476,0.013741463,928.8029175,,0,0.471634299,0.01996005,0.198517248,0.091046318,0.179096431,,0.471634299,1458,2616810,9131,26168104,AMERICAN FLETCHER CORP,3568.781,160.629,372.534,,,I,0.009617009,164.6999969,,0,0.772509396,0.013443246,0.202866465,0.156716257,0.185999125,,0.772509396,,,,,
16,14328020,574162,29544,Public,100,100,,100,08-01-1986,Maryland National Corp,"American Security Corp, Washington, District of Columbia",6021,6021,430,Merger,SHARES,Stock Only,1,Friendly,36.25,-6.46,-0.01,14328020,-0.068110764,-0.088172123,-0.089913219,-0.119040132,-0.130663544,-0.126640782,-0.09725444,-0.098536536,-0.100734077,-0.079118975,-0.080629334,0.935483873,0.935483873,7083,55310710,9496,553107103,MNC FINANCIAL INC,7791.527,,328.738,879.029,,,I,6020,,0.012531562,639.1489868,,0,0.751823306,0.013232579,0.333061665,0.248504564,0.216149867,,0.751823306,1556,2954420,9496,29544202,AMERICAN SECURITY CORP,4154.598,196.775,378.9,,,I,0.005910319,343.1570129,,0,0.690811932,0.009129403,0.267141372,0.184544444,0.166497752,,0.690811932,,,,,
17,15322020,1725,414545,Public,100,100,,100,4/17/1986,AM International Inc,Harris Graphics Corp,3555,3555,374,Merger,CASHO,Cash Only,1,Friendly,22,37.5,31.34,15322020,,,,,,,0.324249268,0.266821831,0.232686087,0.196433529,0.201099351,1.375,1.375,1043,62544010,9343,625440102,MULTIGRAPHICS INC,329.876,,-92.608,611.744,,8.072,I,5040,,0.080887973,161.1719513,0.030287139,0.0244698,0.165538877,0.159884319,0.585507751,0.096924298,0.349360198,0.195254236,0.165538877,5493,41454510,9312,414545103,HARRIS GRAPHICS CORP,385.67,32.897,496.141,,18.454,I,0.129551172,154.6687469,0.03432209,0.047849197,0.44404906,0.26828894,0.721356988,0.320317894,0.160972387,0.107765578,0.44404906,,,,,
18,15337020,577904,42220P,Public,92.25,100,7.7,100,5/27/1986,Maxicare Health Plans Inc,HealthCare USA Inc,6324,8062,66.2,Merger,CASHO,Cash Only,1,Friendly,13.55,57.1,42.63,15337020,0.016232353,0.002047412,0.011438282,-0.026418444,-0.013881002,0.005494221,0.275491118,0.295819312,0.236643344,0.171915397,0.193704426,1.571014524,1.571014524,7133,57790450,9131,577904501,MAXICARE HEALTH PLANS,105.407,11.705,18.556,311.253,,,I,6324,,0.21028015,408.9236145,0.022370432,0,0.007451572,0.200499013,3.908598185,0.029125201,0.072670788,0.720262647,0.007451572,5553,42220P10,9039,42220P100,HEALTHCARE USA INC,154.985,9.163,53.637,,,I,0.061076876,80.35649872,0.007355551,0,0.479021549,0.069961607,0.99520272,0.476723552,,0.986554205,0.479021549,,,,,
19,15455020,546268,456623,Public,100,100,,100,05-12-1986,Louisiana Land & Exploration Co,Inexco Oil Co,1311,1311,125,Merger,SHARES,Stock Only,1,Friendly,5.08,19.53,35.47,15455020,0.031061802,0.085812837,0.115627721,0.137977242,0.137548864,0.175386518,0.419279516,0.427572817,0.378478259,0.327759057,0.339097887,1.195294142,1.195294142,6819,54626810,9131,546268103,LOUISIANA LAND & EXPLORATION,1545.5,0,842.8,1258.9,,,I,1311,,0.178841799,858.7620239,0.118537687,0,0.341572464,0.770171463,0.843909442,0.288256228,0.081023112,0.25102374,0.341572464,5940,45662310,9131,456623107,INEXCO OIL,811.149,190.968,183.882,0,0,I,0.008190852,147.2100067,0.085888043,0,0.738940299,0.913956642,0.695179343,0.513696015,0.063067622,0.18021594,0.738940299,,,,,
20,15640020,242361,517300,Public,100,100,,100,1/16/1986,Dean Foods Co,Larsen Co,2026,2037,164.6,Merger,SHARES,Stock Only,1,Friendly,25.73,,,15640020,-0.005524628,-0.004375701,-0.008708337,-0.011816082,-0.027466938,-0.020140743,0.290627807,0.308982909,0.25646776,0.202663571,0.179992154,,,3821,24236110,9131,242361103,DEAN FOODS CO  -OLD,279.506,8.568,115.274,923.092,,,I,2020,,0.193369731,371.0336609,0.05536196,0,0.100072123,0.397683769,1.475076199,0.147614017,0.12634711,0.365362257,0.100072123,6594,51730010,9282,517300109,LARSEN CO,75.915,36.722,169.855,,0.191,I,0.252650976,126.6832504,0.045485083,0.002515972,0.113385484,0.407258123,1.882161021,0.213409737,0.210732684,0.124867886,0.113385484,,,,,
21,15827020,59438,609903,Public,100,100,,100,10-08-1985,"BANC ONE Corp,Columbus,Ohio","Money Management Corp, Merrillville,Indiana",6021,6021,28,Merger,SHARES,Stock Only,1,Friendly,16.22,,,15827020,0.010771014,0.004500461,-0.019902483,-0.014480259,-0.006904743,0.014093837,0.232148483,0.219482079,0.235888869,0.177807987,0.137800053,,,1998,06423A10,9131,06423A103,BANK ONE CORP,9106.09,125.07,145.123,1049.457,,,I,6020,4476,0.013741463,928.8029175,,0,0.471634299,0.01996005,0.198517248,0.091046318,0.179096431,,0.471634299,7532,60990310,9131,609903109,MONEY MANAGEMENT CORP,328.831,12.237,34.941,,,I,0.006182507,14.86187458,,0,0.689995766,0.009044159,0.149906412,0.100595742,0.196788877,,0.689995766,,,,,
22,15960020,580645,670526,Public,100,100,,100,4/28/1986,McGraw-Hill Inc,Numerax Corp,2731,4731,45,Merger,CASHO,Cash Only,1,Friendly,12.62,5.17,5.17,15960020,-0.009636035,-0.027544631,-0.043506682,-0.041492749,-0.035668157,-0.009691694,0.025614752,0.046720538,0.030789303,0.027481783,0.023861526,1.051666617,1.051666617,7163,58064510,9131,580645109,MCGRAW HILL FINANCIAL,1176.714,250.097,608.937,1401.778,37.469,,A,7323,,0.241498783,2151.479248,0.029539889,0,0.002083053,0.176439643,1.832323074,0.00381656,0.343645006,0.274059534,0.002083053,8034,67052610,9312,670526102,NUMERAX INC,10.046,0.42,9.87,0.24,0.487,I,0.116663352,26.38249969,0.026080031,0.048477005,0.005203522,0.1652399,2.639906406,0.013736811,0.298378915,3.567584038,0.005203522,,,,,
23,16059020,339130,380298,Public,100,100,,100,07-01-1987,Fleming Cos Inc,Godfrey Co,5411,5411,162.48,Merger,SHARES,Stock Only,1,Friendly,29.5,21.65,16.83,16059020,-0.003278648,-0.033133943,-0.046385385,-0.054015711,-0.05431854,-0.063228361,0.09760689,0.123635918,0.168465599,0.16522859,0.037860084,1.216494799,1.216494799,4769,33913010,9861,339130106,FLEMING COMPANIES INC,1236.589,60.816,244.903,7652.621,,,I,5141,,0.077097565,762.5809937,0.031443752,0,0.27047801,0.281615794,0.845322073,0.228641048,0.02931989,0.055986997,0.27047801,5200,38029810,9555,380298109,GODFREY CO,99.309,15.647,601.776,,0,I,0.118609592,65.73600006,0.051395141,0,0.252048075,0.403397471,0.884995341,0.223061353,0.129661202,0.331095964,0.252048075,,,,,
24,19248020,966680,700178,Public,100,100,,100,06-02-1986,Whittaker Corp,Park Chemical Co,2834,2899,24,Merger,CASHO,Cash Only,1,Friendly,34,2.26,1.87,19248020,0.054527983,0.067173615,0.0683816,0.043824632,0.053861909,0.106849872,-0.01503346,-0.013865296,-0.006342174,-0.000854426,-0.002109884,1.022556424,1.022556424,11483,96668040,9435,966680407,WHITTAKER CORP,796.118,,238.127,1130.478,,,I,3490,,-0.014055703,270.8317566,0.02644206,0,0.334679753,0.213282451,0.518964231,0.1711279,0.17803973,0.455672055,0.334679753,8345,70017810,9131,700178106,PARK CHEMICAL CO,9.967,7.017,19.716,0.247,0.244,I,0.322664797,13.06875038,0.018661583,0.024480786,0,0.12180195,1.311202049,0,0.252485305,1.911824703,0,,,,,
25,19254020,505372,702665,Public,100,100,,100,11-03-1986,John Labatt Ltd,Pasquale Food Inc,2082,5812,164.7,Merger,CASHO,Cash Only,1,Friendly,18.5,32.14,0,19254020,,,,,,,-0.070086986,-0.059323665,-0.073174588,-0.058399774,-0.026847513,1.321428537,1.321428537,6544,50537210,9616,505372102,LABATT (JOHN) LTD,1785.252,145.973,445.852,3161.186,,8.242,I,2000,,0.131555647,1621.747314,0.039723244,0.004616715,0.271450698,0.377057701,1.246880174,0.338466495,0.228743896,0.39470008,0.271450698,8371,70266510,9404,702665100,PASQUALE FOODS CO  -CL B,18.393,9.004,66.625,3.464,,I,0.303539395,58.43248367,0.049529713,0,0.030077443,0.346762359,3.275402784,0.098515742,0.276457787,0.966053724,0.030077443,,,,,
26,19259020,910581,704674,Public,100,100,,100,6/20/1986,United HealthCare Corp,Peak Health Care Inc,6324,8011,83.2,Merger,OTHER,Other,1,Friendly,16,26.73,37.63,19259020,0.01783275,-0.013270193,-0.039734222,-0.068856753,-0.059788395,-0.069092967,0.249214873,0.252652496,0.260504693,0.259149671,0.237402648,1.267326713,1.267326713,10903,91324P10,9131,91324P102,UNITEDHEALTH GROUP INC,7.999,0,1.75,13.098,,,A,6324,,0.271033883,24.85874939,0.048631079,0,0,0.313539207,3.107732058,0,0.160329819,2.171708107,0,8409,70467410,9131,704674100,PEAK HEALTH CARE INC,29.859,4.169,26.379,,,I,0.191700995,63.47249985,0.006463713,0,0.00122737,0.025720889,2.128353357,0.002612278,0.114447095,7.587825298,0.00122737,,,,,
27,19319020,291210,727108,Public,100,100,,100,9/25/1986,Emhart Corp,Planning Research Corp,3429,7372,210,Merger,CASHO,Cash Only,1,Friendly,31.5,54.6,48.24,19319020,-0.057536993,-0.058617081,-0.017133543,-0.012082241,-0.068140693,-0.039793536,-0.051114112,-0.046625771,-0.00056532,0.02240878,0.051805474,1.546012282,1.546012282,4327,29121010,9496,291210102,EMHART CORP,1523.3,164,368.4,1775.4,21.1,39.3,I,3452,,0.116326399,900.1199951,0.03682794,0.02579925,0.318359435,0.295805156,0.868880093,0.275979787,0.238425151,0.09336143,0.318359435,8629,72710810,9312,727108102,PLANNING RESEARCH CORP,186.158,47.129,371.069,,0.571,I,0.086995997,95.24075317,0.045955587,0.003067287,0.272409022,0.142787308,0.703159451,0.191546962,0.275498629,0.005213445,0.272409022,,,,,
28,19433020,99467,770323,Public,100,100,,100,8/29/1986,Boothe Financial Corp,Robert Half International Inc,6159,7361,20,Acq. of Assets,UNKNOWN,Unknown,1,Friendly,,,,19433020,0.057448629,0.044922501,0.061606679,0.054238547,0.034315865,0.068820201,0.034315865,0.054238547,0.061606679,0.044922501,0.057448629,,,2312,77032310,9496,770323103,ROBERT HALF INTL INC,132.662,0,50.047,30.881,0,,A,7363,,0.098671816,77.00691223,0.08602313,0,0.399794519,0.185117066,0.96712631,0.386651814,,4.659532547,0.399794519,2312,77032310,9496,770323103,ROBERT HALF INTL INC,132.662,50.047,30.881,0,,A,0.098671816,77.00691223,0.08602313,0,0.399794519,0.185117066,0.96712631,0.386651814,,4.659532547,0.399794519,,,,,
29,19488020,571630,786599,Public,100,100,,100,05-07-1986,Marriott Corp,Saga Corp,7011,5812,500.5,Merger,CASHO,Cash Only,2,Hostile,39.5,38.6,37.39,19488020,-0.017569777,0.004613936,0.053013358,0.053834841,0.072422571,0.064903721,0.301391572,0.29452911,0.269431978,0.279134423,0.264663309,1.38596487,1.38596487,7063,44107P10,9131,44107P104,HOST HOTELS & RESORTS INC,2904.669,26.742,625.424,3524.937,118.06,,A,6798,,0.127326384,1951.39563,0.034139864,0,0.371684313,0.630995452,1.069229126,0.397415668,,0.039471347,0.371684313,9361,78659910,9312,786599100,SAGA CORP,428.499,145.098,1254.826,21.454,,I,0.132240683,357.2904968,0.070940658,0,0.232322589,0.661278069,1.08615768,0.252338976,,0.211561024,0.232322589,,,,,
30,19496020,539821,799850,Public,100,100,,100,07-09-1986,Lockheed Corp,Sanders Associates Inc,3721,3812,1177.53,Merger,CASHO,Cash Only,2,Friendly,60,106.9,11.11,19496020,-0.04595748,-0.041269153,-0.022863502,-0.053977147,-0.044906732,-0.064149112,0.164232805,0.170437574,0.154377043,0.158470258,0.131194532,2.068965435,2.068965435,6774,53983010,9496,539830109,LOCKHEED MARTIN CORP,4184,29,992,9535,,429,A,3760,,0.177342251,3204.030029,0.044455066,0.10253346,0.164971337,0.30664435,0.917072177,0.151290625,,0.023881728,0.164971337,9395,79985010,9343,799850102,SANDERS ASSOCIATES INC,617.616,169.236,885.79,,40.099,I,0.101611681,682.0220947,0.049428772,0.064925455,0.077398606,0.324764907,1.196921825,0.092640087,0.119676225,0.245465323,0.077398606,,,,,
31,19664020,165339,847621,Sub.,100,100,,100,9/25/1986,Chesebrough-Pond's Inc,Spectrum Group Inc (Chesebrough-Pond's),2844,2879,72.367,Merger,CASHO,Cash Only,1,Friendly,13.11,43.64,54.2,19664020,-0.026566345,0.038356446,0.025174478,0.026946777,0.002518316,0.005301615,0.385486573,0.416747451,0.334804237,0.334919691,0.320956588,1.436712384,1.436712384,2987,16533910,9496,165339102,CHESEBROUGH-POND'S INC,3008.05,455.946,582.237,2699.498,165.097,66.742,I,2800,,0.08842539,1496.685059,0.042621631,0.022187795,0.477728277,0.34049499,0.952683985,0.45512408,0.334398478,0.091562375,0.477728277,9938,84762110,9404,847621109,SPECTRUM GROUP INC,27.887,6.166,54.379,3.878,,I,0.262918204,40.59824753,0.015419371,0,0.148709655,0.061211318,1.781842709,0.254312038,0.324720949,0.007999265,0.148709655,,,,,
